Folder,Images_1,Images_2,Total,Deleted Duplicates
Spring 2020,196,5,201,
Summer 2020,164,8,172,
Fall 2020,175,9,184,
Autumn 2020,173,6,179,
Winter 2020,170,10,180,
Spring 2021,131,11,142,
Summer 2021,123,14,137,
Fall 2021,135,13,148,
Autumn 2021,120,13,133,
Winter 2021,130,14,144,
Spring 2022,108,9,117,
Summer 2022,123,10,133,
Fall 2022,121,12,133,
Autumn 2022,119,12,131,
Winter 2022,120,11,131,
Spring 2023,101,19,120,
Summer 2023,105,17,122,
Fall 2023,116,13,129,
Autumn 2023,125,13,138,
Winter 2023,127,10,137,
Spring 2024,102,11,113,
Summer 2024,111,11,122,
Fall 2024,109,12,121,
Autumn 2024,99,11,110,
Winter 2024,99,14,113,
All Folders,3202,288,3490,0.0
